read_accession_id,count
NZ_LT635457.1,30
NZ_CP033459.1,3049
CAKAFU010000002.1,31
NZ_CP036550.1,5460
NZ_CP012544.1,2724
NZ_CP049272.1,123
NZ_CP022386.1,729
NZ_CP022384.1,407
NZ_CP022379.1,11018
ACIL03000013.1,30
NZ_CP028101.1,114
NZ_CP024703.1,51380
NZ_CP083637.1,6997
NZ_CP035368.2,33727
NZ_CP031243.1,158
NZ_AP018768.1,139
NZ_CP038817.1,22
NC_013203.1,15
NZ_LR134378.1,412
NZ_AP019831.1,22
NZ_CP101528.1,36
NZ_CP126965.1,108
NZ_CP039886.1,4830
NZ_CP030820.1,5836
NZ_CP053939.1,13774
NZ_CP073114.1,592759
NZ_CP092048.1,178
NC_019960.1,31
NZ_CP024696.1,1745
NZ_CP072363.1,36
AP018050.1,4881
NZ_CP079201.1,164
NZ_CP079822.1,172362
NZ_CP072390.1,18
NZ_CP102197.1,838
CAHJXR010000003.1,32853
NZ_LS483444.1,31
NZ_CP012646.1,21354
NC_015875.1,111
NZ_CP079193.1,876
NZ_CAKAHJ010000001.1,2063
NZ_CAJTJS010000001.1,30
NZ_CAKAIK010000001.1,187
NZ_CAMNMG010000001.1,20
NZ_CALHUL010000006.1,39
NZ_CP020566.1,47
NZ_LR134375.1,673
NZ_AP022321.1,13348
NZ_CALGPY010000005.1,20
NZ_CAKOJV010000001.1,74
NZ_CABPWA010000001.1,15
NZ_UQJH01000001.1,230
NZ_CP019721.1,13673
