read_accession_id,count
NZ_LT635457.1,1160
NZ_CP033459.1,19559
NZ_CP036550.1,18109
CAKAFU010000002.1,61
NZ_CP049272.1,25581
NZ_CP022386.1,241
ACIL03000013.1,4299
NZ_CP018196.1,252492
NZ_CP028101.1,17137
NZ_CP024703.1,69063
NZ_CP083637.1,45452
NZ_CP031243.1,7616
NZ_AP018768.1,1049
NZ_CP038817.1,6684
NZ_CP035368.2,26068
NZ_LR134378.1,2637
NZ_AP019829.2,69
NZ_CP101528.1,2867
NZ_CP073114.1,26925
NZ_CP092048.1,379
NZ_CP024696.1,9987
NZ_CP072363.1,222
AP018050.1,5899
NZ_CP072390.1,1738
NZ_CP079822.1,32984
NZ_CP102197.1,34356
NZ_CP060204.1,24057
NZ_CP012071.1,3996
NZ_CP127842.1,200830
NZ_CP079193.1,100
NZ_CP009227.1,838
NZ_CAKAHJ010000001.1,176
NZ_CAKOJV010000001.1,54837
NZ_CABPWA010000001.1,36257
NZ_UQJH01000001.1,134
NZ_CAJTJS010000001.1,14096
NZ_CAMNMG010000001.1,371
NZ_CALHUL010000006.1,33694
NZ_LR134375.1,13243
NZ_CP020566.1,890
NZ_AP022321.1,3407
NZ_CP019721.1,380
