read_accession_id,count
NZ_CP019962.1,11046
NC_001722.1,47780
NZ_CP019668.1,51780
NZ_CP120398.1,62684
NZ_CP050497.1,48315
NZ_CP008852.1,18341
NZ_CP027286.1,44202
NC_076948.1,14718
NZ_CP036259.1,10786
NZ_AP019735.1,6182
NZ_CP039712.1,38438
NZ_CP012672.1,12610
NZ_CP098483.1,19440
NZ_CP017761.1,20781
NC_012756.1,118473
NZ_CP116810.1,23418
NZ_CP027228.1,51877
NZ_CP033459.1,25191
NZ_CP066811.1,46030
NZ_CP098491.1,8456
NZ_CP017038.2,11712
NZ_CP068103.1,42798
NZ_CP117966.1,27617
NC_076103.1,23752
NZ_CP029033.1,40786
NZ_CP072246.1,17331
NZ_CP046313.1,66014
NZ_CP118095.1,45810
NZ_CP085178.1,8070
NZ_CP066560.1,35512
