read_accession_id,count
NZ_CP126983.1,37817
NZ_CP027286.1,26157
NZ_CP008852.1,22621
NZ_CP045696.1,9159
NZ_CP033719.1,40737
NZ_CP017042.1,3922
NZ_CP036259.1,12698
NZ_CP033459.1,26944
NZ_CP073804.1,37812
NZ_CP118095.1,92947
NZ_CP071986.1,5105
NZ_CP012196.1,7830
NZ_CP029033.1,10019
NZ_CP012069.2,39477
NZ_CP019962.1,9337
NZ_CP039712.1,18673
NZ_CP020566.1,4539
NZ_CP017761.1,43120
NZ_CP054018.1,10216
NZ_CP025330.1,12588
NZ_CP085178.1,4723
NZ_CP040235.1,14944
NZ_CP054494.1,30069
NZ_CP120209.1,36603
NZ_AP025575.1,8925
NZ_CP013476.1,1603
NZ_CP032819.1,5125
NZ_CP016839.1,16919
NZ_CP040004.1,35677
NZ_AP019735.1,15237
NZ_CP098491.1,5248
NZ_CP015348.1,3403
NZ_CP072246.1,43307
NZ_CP040915.1,17577
NZ_CP097775.1,31045
NZ_CP047630.1,6233
NZ_CP026548.1,23824
NZ_CP117966.1,5573
NZ_CP066811.1,36048
NZ_CP050134.2,9886
NZ_CP046313.1,8031
NZ_CP011861.1,52156
NZ_CP040348.1,44994
NZ_CP017428.1,15479
NZ_CP068103.1,8255
NZ_CP029197.1,4851
NZ_CP077403.1,24434
NZ_CP017038.2,1486
NZ_CP027228.1,11392
NZ_CP023482.1,5038
