read_accession_id,count
NZ_CP054494.1,7482
NZ_CP012672.1,14243
NZ_CP029033.1,6133
NZ_CP032819.1,4012
NZ_CP027228.1,15998
NZ_CP040915.1,51571
NZ_CP066811.1,4209
NZ_CP116810.1,50156
NZ_CP017761.1,31878
NZ_CP050497.1,37406
NZ_CP015348.1,28389
NZ_CP027286.1,17613
NZ_CP045696.1,5941
NZ_CP046313.1,7767
NZ_CP033459.1,11119
NZ_CP050134.2,10272
NZ_CP117966.1,15246
NZ_CP017042.1,10499
NZ_AP025575.1,9591
NZ_CP039712.1,4249
NZ_CP013334.1,6553
NZ_CP040235.1,26014
NZ_CP012196.1,5994
NZ_CP017038.2,13679
NZ_CP071986.1,3897
NZ_CP026548.1,23206
NZ_CP066560.1,17030
NZ_CP118095.1,2207
NC_012756.1,7700
NZ_CP040004.1,12910
NZ_CP013476.1,25159
NZ_CP054018.1,10055
NZ_CP033719.1,1839
NZ_CP020566.1,30231
NZ_CP073804.1,13046
NZ_AP019735.1,20610
NZ_CP019668.1,19310
NZ_CP012069.2,13642
NZ_CP072246.1,3581
NZ_CP120209.1,26730
NZ_CP016839.1,53970
NZ_CP068103.1,2831
NZ_CP029197.1,163514
NZ_CP023482.1,6456
NZ_CP098491.1,71458
NZ_CP077403.1,36585
NZ_CP008852.1,5054
NZ_CP036259.1,19444
NZ_AP019829.2,5140
NZ_CP025330.1,8334
