accession,tax_id
NZ_CP046313.1,84135
NZ_CP017038.2,712710
NZ_AP021887.1,2598453
NZ_CP046314.1,29391
NZ_CP101412.1,33033
NZ_CP044230.1,2610896
NZ_CP125087.1,729
NZ_AP018768.1,727
NZ_CP032620.1,2382163
NZ_CP027228.1,114527
NZ_CP034670.1,539
NZ_CP019668.1,95486
NZ_CP031253.1,486
NZ_CP046315.1,1660
NZ_AP014938.1,43675
NZ_CP012067.1,732
NZ_CP032364.1,617123
NZ_CP050134.2,43768
NZ_CP031243.1,726
NZ_CP028108.1,860
NZ_CP066065.1,52773
NZ_CP039886.1,484
NZ_CP024696.1,28131
NZ_CP126745.1,1747
NZ_CP072373.1,28129
NZ_CP027235.1,712310
NZ_CP019721.1,29466
NZ_CP083637.1,1379
NZ_CP073118.1,28449
NZ_CP053939.1,488
NZ_CP031255.1,495
NZ_CP032621.1,1433513
NZ_CP040798.1,1305
NZ_CP090007.1,1304
NZ_CP038817.1,735
NZ_AP019829.2,157687
NZ_CP022527.1,655307
NZ_CP048246.1,485
NZ_CP016753.1,712368
NZ_CP020566.1,39777
NZ_CP065726.1,483
NZ_CP049272.1,199
NZ_CP094445.1,40215
NZ_CP075172.1,1335
NZ_CP028415.1,28037
NZ_CP064367.1,487
NZ_CP068102.1,172042
NZ_CP008849.1,589873
NZ_CP017295.1,1302
NZ_CP050133.1,889201
NZ_CP012410.1,712357
NZ_CP107038.1,1313
NZ_CP020431.2,1839799
NZ_CP097843.1,1303
NZ_CP054018.1,2047
NZ_CP028101.1,190304
NZ_CP024700.1,2663009
NZ_CP014264.1,712633
